Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_3.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_1/Channel_3.,
2023/07/25 10:27:38.000,-31.533203125,
2023/07/25 10:27:47.000,-31.5419921875,
2023/07/25 10:27:57.000,-31.5107421875,
2023/07/25 10:28:18.000,-31.509765625,
2023/07/25 10:28:38.000,-31.4990234375,
2023/07/25 10:28:59.000,-31.4912109375,
2023/07/25 10:29:03.000,-31.482421875,
2023/07/25 10:29:19.000,-31.4765625,
2023/07/25 10:29:33.000,-31.509765625,
2023/07/25 10:30:00.000,-31.50390625,
2023/07/25 10:30:16.000,-31.517578125,
2023/07/25 10:30:19.000,-31.53125,
2023/07/25 10:31:03.000,-31.5703125,
2023/07/25 10:31:13.000,-31.5595703125,
2023/07/25 10:31:21.000,-31.56640625,
2023/07/25 10:31:29.000,-31.5693359375,
2023/07/25 10:31:39.000,-31.5595703125,
2023/07/25 10:32:13.000,-31.587890625,
2023/07/25 10:32:21.000,-31.5703125,
2023/07/25 10:32:49.000,-31.56640625,
2023/07/25 10:33:03.000,-31.560546875,
2023/07/25 10:33:23.000,-31.546875,
2023/07/25 10:33:41.000,-31.544921875,
2023/07/25 10:34:09.000,-31.546875,
2023/07/25 10:34:17.000,-31.5419921875,
2023/07/25 10:34:27.000,-31.5556640625,
2023/07/25 10:34:50.000,-31.556640625,
2023/07/25 10:34:51.000,-31.552734375,
2023/07/25 10:35:06.000,-31.5595703125,
2023/07/25 10:35:09.000,-31.5703125,
2023/07/25 10:35:21.000,-31.5830078125,
2023/07/25 10:35:43.000,-31.5849609375,
2023/07/25 10:35:51.000,-31.5830078125,
2023/07/25 10:36:08.000,-31.58203125,
2023/07/25 10:36:21.000,-31.5927734375,
2023/07/25 10:36:29.000,-31.5751953125,
2023/07/25 10:36:36.000,-31.560546875,
2023/07/25 10:37:19.000,-31.5478515625,
2023/07/25 10:37:29.000,-31.54296875,
2023/07/25 10:37:39.000,-31.5380859375,
2023/07/25 10:37:51.000,-31.53125,
2023/07/25 10:38:21.000,-31.5234375,
2023/07/25 10:38:27.000,-31.5341796875,
