Time,Current,Voltage,Power
11:00:00,0,0,0
11:00:00,0.1,0.1,0.01
11:00:00,0.3,0.31594,0.094782
12:00:00,0.5,0.6495,0.32475
12:00:00,0.75,1.06645,0.7998375
13:00:00,1,1.5,1.5
14:00:00,1.5,2.3,3.45
15:00:00,2,3.12,6.24
16:00:00,2.25,3.6,8.1
