Year/Month/Day Hour:Minute:Second.Millisecond,TIF/Manifold/Loop6/TT7648.actual.floatValue,
Year/Month/Day Hour:Minute:Second.Millisecond,TIF/Manifold/Loop6/TT7648,
2023/07/20 07:33:06.000,-33.98999786377,
2023/07/20 07:33:11.000,-34.330001831055,
2023/07/20 07:33:27.000,-34.680000305176,
2023/07/20 07:34:14.000,-34.330001831055,
2023/07/20 07:34:47.000,-33.98999786377,
2023/07/20 07:34:56.000,-33.620002746582,
2023/07/20 07:34:59.000,-33.25,
2023/07/20 07:35:09.000,-33.620002746582,
2023/07/20 07:36:21.000,-33.319999694824,
2023/07/20 07:36:31.000,-32.860000610352,
2023/07/20 07:36:37.000,-32.529998779297,
2023/07/20 07:38:34.000,-32.120002746582,
2023/07/20 07:38:38.000,-32.5,
2023/07/20 07:39:06.000,-32.870002746582,
2023/07/20 07:39:09.000,-33.220001220703,
2023/07/20 07:39:19.000,-33.669998168945,
2023/07/20 07:39:32.000,-33.319999694824,
2023/07/20 07:39:40.000,-32.970001220703,
2023/07/20 07:39:50.000,-33.300003051758,
2023/07/20 07:40:27.000,-33.669998168945,
2023/07/20 07:40:48.000,-33.309997558594,
2023/07/20 07:41:04.000,-33.650001525879,
2023/07/20 07:41:48.000,-33.319999694824,
2023/07/20 07:41:56.000,-33.690002441406,
2023/07/20 07:42:17.000,-33.349998474121,
2023/07/20 07:42:22.000,-33,
2023/07/20 07:43:38.000,-33.319999694824,
2023/07/20 07:43:47.000,-33.680000305176,
2023/07/20 07:43:51.000,-34.040000915527,
2023/07/20 07:44:02.000,-34.380001068115,
2023/07/20 07:44:25.000,-33.940002441406,
2023/07/20 07:44:31.000,-33.610000610352,
2023/07/20 07:44:35.000,-34.080001831055,
2023/07/20 07:44:56.000,-33.73999786377,
2023/07/20 07:45:03.000,-33.360000610352,
2023/07/20 07:45:14.000,-32.919998168945,
2023/07/20 07:45:51.000,-33.5,
2023/07/20 07:45:57.000,-33.849998474121,
2023/07/20 07:46:13.000,-33.529998779297,
2023/07/20 07:46:16.000,-33.169998168945,
2023/07/20 07:46:33.000,-32.809997558594,
2023/07/20 07:46:53.000,-33.169998168945,
2023/07/20 07:47:37.000,-33.639999389648,
2023/07/20 07:47:47.000,-33.290000915527,
2023/07/20 07:47:56.000,-32.959999084473,
2023/07/20 07:49:06.000,-33.440002441406,
2023/07/20 07:49:20.000,-32.98999786377,
2023/07/20 07:49:36.000,-33.370002746582,
2023/07/20 07:49:44.000,-33.040000915527,
2023/07/20 07:49:59.000,-32.680000305176,
2023/07/20 07:51:04.000,-33.040000915527,
2023/07/20 07:52:04.000,-33.440002441406,
2023/07/20 07:52:13.000,-33.800003051758,
2023/07/20 07:52:41.000,-34.20000076294,
2023/07/20 07:52:49.000,-34.529998779297,
2023/07/20 07:53:10.000,-34.139999389648,
2023/07/20 07:53:17.000,-33.669998168945,
2023/07/20 07:53:29.000,-33.309997558594,
2023/07/20 07:53:48.000,-32.959999084473,
2023/07/20 07:53:54.000,-33.300003051758,
2023/07/20 07:54:25.000,-32.959999084473,
2023/07/20 07:54:51.000,-33.300003051758,
2023/07/20 07:55:18.000,-32.900001525879,
2023/07/20 07:56:01.000,-33.51000213623,
2023/07/20 07:56:05.000,-33.98999786377,
2023/07/20 07:56:33.000,-33.51000213623,
2023/07/20 07:57:02.000,-33.98999786377,
2023/07/20 07:57:07.000,-34.349998474121,
2023/07/20 07:57:14.000,-34.669998168945,
2023/07/20 07:57:22.000,-34.990001678467,
2023/07/20 07:57:36.000,-35.349998474121,
2023/07/20 07:58:09.000,-35.01000213623,
2023/07/20 07:58:17.000,-34.639999389648,
2023/07/20 07:58:22.000,-34.29999923706,
2023/07/20 07:58:25.000,-33.970001220703,
2023/07/20 07:58:30.000,-33.620002746582,
2023/07/20 07:59:04.000,-33.309997558594,
2023/07/20 07:59:30.000,-32.790000915527,
2023/07/20 07:59:40.000,-32.430000305176,
2023/07/20 08:00:23.000,-32.76000213623,
2023/07/20 08:00:57.000,-33.110000610352,
2023/07/20 08:01:08.000,-32.729999542236,
2023/07/20 08:01:22.000,-33.080001831055,
2023/07/20 08:01:51.000,-32.599998474121,
2023/07/20 08:02:23.000,-32.23999786377,
2023/07/20 08:03:31.000,-32.580001831055,
2023/07/20 08:03:42.000,-32.959999084473,
2023/07/20 08:03:47.000,-33.300003051758,
2023/07/20 08:03:58.000,-33.650001525879,
2023/07/20 08:04:30.000,-33.029998779297,
2023/07/20 08:04:34.000,-32.680000305176,
2023/07/20 08:04:38.000,-32.349998474121,
2023/07/20 08:04:40.000,-32.720001220703,
2023/07/20 08:04:51.000,-33.099998474121,
2023/07/20 08:05:00.000,-32.73999786377,
2023/07/20 08:05:35.000,-32.430000305176,
2023/07/20 08:06:09.000,-32.76000213623,
2023/07/20 08:06:15.000,-33.220001220703,
2023/07/20 08:06:25.000,-32.860000610352,
2023/07/20 08:06:30.000,-32.529998779297,
2023/07/20 08:06:49.000,-32.180000305176,
2023/07/20 08:07:03.000,-32.540000915527,
2023/07/20 08:07:20.000,-32.180000305176,
2023/07/20 08:07:45.000,-32.540000915527,
2023/07/20 08:09:08.000,-32.889999389648,
2023/07/20 08:09:21.000,-32.559997558594,
2023/07/20 08:09:23.000,-32.900001525879,
2023/07/20 08:09:27.000,-33.25,
2023/07/20 08:09:40.000,-32.809997558594,
2023/07/20 08:10:20.000,-33.120002746582,
2023/07/20 08:10:49.000,-32.669998168945,
2023/07/20 08:11:09.000,-33.01000213623,
2023/07/20 08:11:19.000,-32.650001525879,
2023/07/20 08:13:08.000,-33.26000213623,
2023/07/20 08:13:22.000,-33.620002746582,
2023/07/20 08:13:35.000,-33.959999084473,
2023/07/20 08:13:54.000,-34.290000915527,
2023/07/20 08:13:58.000,-34.650001525879,
2023/07/20 08:14:08.000,-34.990001678467,
2023/07/20 08:14:34.000,-35.349998474121,
2023/07/20 08:15:58.000,-34.979999542236,
2023/07/20 08:16:04.000,-34.479999542236,
2023/07/20 08:16:14.000,-34.029998779297,
2023/07/20 08:16:35.000,-33.690002441406,
2023/07/20 08:17:18.000,-33.360000610352,
2023/07/20 08:18:20.000,-33.720001220703,
2023/07/20 08:18:26.000,-34.060001373291,
2023/07/20 08:18:50.000,-34.440002441406,
2023/07/20 08:19:06.000,-34.790000915527,
2023/07/20 08:19:09.000,-35.190002441406,
2023/07/20 08:19:51.000,-34.779998779297,
2023/07/20 08:19:58.000,-34.459999084473,
2023/07/20 08:20:07.000,-34.099998474121,
2023/07/20 08:20:37.000,-33.73999786377,
2023/07/20 08:21:33.000,-33.389999389648,
2023/07/20 08:21:47.000,-33.870002746582,
2023/07/20 08:22:09.000,-33.51000213623,
2023/07/20 08:22:41.000,-34,
2023/07/20 08:22:45.000,-34.330001831055,
2023/07/20 08:23:19.000,-33.98999786377,
2023/07/20 08:23:26.000,-34.349998474121,
2023/07/20 08:23:29.000,-34.810001373291,
2023/07/20 08:23:33.000,-35.130001068115,
2023/07/20 08:24:00.000,-35.490001678467,
2023/07/20 08:25:11.000,-35.029998779297,
2023/07/20 08:25:19.000,-34.680000305176,
2023/07/20 08:25:26.000,-34.209999084473,
2023/07/20 08:25:33.000,-33.849998474121,
2023/07/20 08:25:55.000,-33.48999786377,
