Voltage,Current,Power,Time
0,0,0,9:40
0.5,0.49,0.245,9:42
1.01,1,1.01,9:46
1.51,1.49,2.2499,9:50
2.02,2,4.04,9:54
2.53,2.5,6.325,9:58
3.08,3.01,9.2708,10:05
