Voltage,Current,Power,Time
0,0,0,09:47:00
0.46,0.5,0.23,09:47:00
0.98,1,0.98,09:51:00
1.49,1.49,2.2201,09:55:00
2.01,2,4.02,09:59:00
2.49,2.49,6.2001,10:03:00
2.78,2.78,7.7284,10:06:00
