Time,Current,Voltage
13:56,0.51,0.28
13:58,1.01,0.62
14:03,1.51,0.97
14:05,2.01,1.3
14:07,2.51,1.64
14:08,3.01,1.96
14:10,3.51,2.3
14:13,4.01,2.62
14:16,4.51,2.95
14:19,5.01,3.26
14:22,5.51,3.58
14:25,6.01,3.91
