Voltage,Current,Power,Time
0,0,0,11:00:00
0.99,1.09,1.0791,11:14:00
1.57,1.64,2.5748,11:32:00
2.01,2.06,4.1406,11:51:00
2.34,2.37,5.5458,12:04:00
2.64,2.69,7.1016,12:13:00
2.9,2.93,8.497,12:31:00
3.16,3.2,10.112,12:43:00
3.6,3.64,13.104,12:52:00
4,4.06,16.24,12:59:00
