Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2.actual.value,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_18/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0,
2023/08/24 12:06:10.000,,,-33.888671875,
2023/08/24 12:06:14.000,,,-33.8291015625,
2023/08/24 11:39:16.000,,,-32.28125,
2023/08/24 11:39:18.000,,,-32.2841796875,
2023/08/24 11:44:24.000,,,-32.619140625,
2023/08/24 11:44:26.000,,,-32.5927734375,
2023/08/24 11:49:41.000,,,-32.943359375,
2023/08/24 11:49:45.000,,,-32.9853515625,
2023/08/24 11:49:47.000,,,-33.00390625,
2023/08/24 11:49:52.000,,,-33.046875,
2023/08/24 11:49:54.000,,,-33.048828125,
2023/08/24 11:49:56.000,,,-33.052734375,
2023/08/24 12:01:20.000,,,-33.353515625,
2023/08/24 12:01:30.000,,,-33.3212890625,
2023/08/24 12:06:28.000,,,-33.7548828125,
2023/08/24 12:06:30.000,,,-33.740234375,
2023/08/24 12:06:40.000,,,-33.7705078125,
2023/08/24 12:06:44.000,,,-33.8076171875,
2023/08/24 11:34:24.000,,,-32.0400390625,
2023/08/24 11:34:26.000,,,-32.0361328125,
2023/08/24 11:34:28.000,,,-32.0419921875,
2023/08/24 11:34:32.000,,,-32.0390625,
2023/08/24 11:34:34.000,,,-32.06640625,
2023/08/24 11:34:36.000,,,-32.052734375,
2023/08/24 11:34:40.000,,,-32.060546875,
2023/08/24 11:34:42.000,,,-32.0576171875,
2023/08/24 11:34:45.000,,,-32.0751953125,
2023/08/24 11:39:26.000,,,-32.224609375,
2023/08/24 11:39:28.000,,,-32.205078125,
2023/08/24 11:39:32.000,,,-32.1689453125,
2023/08/24 11:39:34.000,,,-32.158203125,
2023/08/24 11:39:36.000,,,-32.1328125,
2023/08/24 11:39:38.000,,,-32.107421875,
2023/08/24 11:44:34.000,,,-32.5595703125,
2023/08/24 11:44:36.000,,,-32.5439453125,
2023/08/24 11:44:38.000,,,-32.5283203125,
2023/08/24 11:44:44.000,,,-32.5810546875,
2023/08/24 11:44:46.000,,,-32.5791015625,
2023/08/24 11:44:48.000,,,-32.6142578125,
2023/08/24 11:50:12.000,,,-33.0693359375,
2023/08/24 11:50:17.000,,,-33.083984375,
2023/08/24 11:50:18.000,,,-33.0908203125,
2023/08/24 11:50:21.000,,,-33.0927734375,
2023/08/24 11:50:24.000,,,-33.1083984375,
2023/08/24 11:53:10.000,,,-33.373046875,
2023/08/24 11:53:24.000,,,-33.3662109375,
2023/08/24 11:53:26.000,,,-33.3583984375,
2023/08/24 11:53:28.000,,,-33.369140625,
2023/08/24 11:56:38.000,,,-32.9130859375,
2023/08/24 11:56:41.000,,,-32.9248046875,
2023/08/24 11:56:44.000,,,-32.931640625,
2023/08/24 11:56:46.000,,,-32.951171875,
2023/08/24 11:56:49.000,,,-32.9580078125,
2023/08/24 11:56:53.000,,,-32.9619140625,
2023/08/24 12:01:33.000,,,-33.2978515625,
2023/08/24 12:01:37.000,,,-33.2607421875,
2023/08/24 12:06:46.000,,,-33.8173828125,
2023/08/24 12:06:48.000,,,-33.8525390625,
2023/08/24 12:07:04.000,,,-33.943359375,
2023/08/24 11:34:47.000,,,-32.072265625,
2023/08/24 11:34:56.000,,,-32.1328125,
2023/08/24 11:34:58.000,,,-32.12890625,
2023/08/24 11:40:02.000,,,-32.1962890625,
2023/08/24 11:40:04.000,,,-32.2119140625,
2023/08/24 11:40:06.000,,,-32.2421875,
2023/08/24 11:44:54.000,,,-32.6748046875,
2023/08/24 11:44:56.000,,,-32.6953125,
2023/08/24 11:44:58.000,,,-32.703125,
2023/08/24 11:50:26.000,,,-33.1142578125,
2023/08/24 11:50:29.000,,,-33.1396484375,
2023/08/24 11:50:32.000,,,-33.1728515625,
2023/08/24 11:50:34.000,,,-33.1953125,
2023/08/24 11:50:36.000,,,-33.21484375,
2023/08/24 11:53:32.000,,,-33.380859375,
2023/08/24 11:53:34.000,,,-33.376953125,
2023/08/24 11:53:44.000,,,-33.431640625,
2023/08/24 11:53:46.000,,,-33.4375,
2023/08/24 11:53:48.000,,,-33.4482421875,
2023/08/24 11:57:00.000,,,-32.9677734375,
2023/08/24 11:57:13.000,,,-32.8623046875,
2023/08/24 11:57:15.000,,,-32.8291015625,
2023/08/24 12:01:58.000,,,-32.9951171875,
2023/08/24 12:02:00.000,,,-32.9873046875,
2023/08/24 12:02:04.000,,,-32.9599609375,
2023/08/24 12:07:24.000,,,-33.9765625,
2023/08/24 11:35:06.000,,,-32.205078125,
2023/08/24 11:35:18.000,,,-32.2666015625,
2023/08/24 11:40:14.000,,,-32.28515625,
2023/08/24 11:40:22.000,,,-32.3125,
2023/08/24 11:40:24.000,,,-32.3212890625,
2023/08/24 11:45:16.000,,,-32.828125,
2023/08/24 11:45:18.000,,,-32.826171875,
2023/08/24 11:45:23.000,,,-32.837890625,
2023/08/24 11:50:52.000,,,-33.384765625,
2023/08/24 11:50:57.000,,,-33.40234375,
2023/08/24 11:51:04.000,,,-33.4619140625,
2023/08/24 11:57:20.000,,,-32.8134765625,
2023/08/24 11:57:28.000,,,-32.7646484375,
2023/08/24 12:02:18.000,,,-32.912109375,
2023/08/24 12:02:27.000,,,-32.931640625,
2023/08/24 12:02:29.000,,,-32.94921875,
2023/08/24 12:07:37.000,,,-33.8623046875,
2023/08/24 12:07:39.000,,,-33.833984375,
2023/08/24 12:07:41.000,,,-33.775390625,
2023/08/24 11:35:24.000,,,-32.3046875,
2023/08/24 11:35:26.000,,,-32.3310546875,
2023/08/24 11:35:30.000,,,-32.3603515625,
2023/08/24 11:35:33.000,,,-32.373046875,
2023/08/24 11:40:26.000,,,-32.341796875,
2023/08/24 11:40:28.000,,,-32.3603515625,
2023/08/24 11:40:38.000,,,-32.361328125,
2023/08/24 11:40:42.000,,,-32.3603515625,
2023/08/24 11:51:06.000,,,-33.4755859375,
2023/08/24 11:51:14.000,,,-33.482421875,
2023/08/24 11:51:18.000,,,-33.4951171875,
2023/08/24 11:54:20.000,,,-33.298828125,
2023/08/24 11:57:34.000,,,-32.77734375,
2023/08/24 11:57:48.000,,,-32.86328125,
2023/08/24 12:02:56.000,,,-33.0654296875,
2023/08/24 12:02:58.000,,,-33.083984375,
2023/08/24 12:03:00.000,,,-33.0908203125,
2023/08/24 12:08:08.000,,,-33.2333984375,
2023/08/24 11:35:38.000,,,-32.4248046875,
2023/08/24 11:35:42.000,,,-32.4521484375,
2023/08/24 11:35:44.000,,,-32.462890625,
2023/08/24 11:35:46.000,,,-32.4697265625,
2023/08/24 11:35:54.000,,,-32.51171875,
2023/08/24 11:40:54.000,,,-32.271484375,
2023/08/24 11:45:46.000,,,-32.55859375,
2023/08/24 11:45:48.000,,,-32.5283203125,
2023/08/24 11:45:56.000,,,-32.40625,
2023/08/24 11:45:58.000,,,-32.3837890625,
2023/08/24 11:46:01.000,,,-32.3583984375,
2023/08/24 11:51:22.000,,,-33.501953125,
2023/08/24 11:51:24.000,,,-33.5126953125,
2023/08/24 11:51:32.000,,,-33.5322265625,
2023/08/24 11:54:28.000,,,-33.1630859375,
2023/08/24 11:54:31.000,,,-33.1123046875,
2023/08/24 11:54:34.000,,,-33.072265625,
2023/08/24 11:54:36.000,,,-33.0595703125,
2023/08/24 11:54:44.000,,,-32.998046875,
2023/08/24 11:57:50.000,,,-32.875,
2023/08/24 11:57:54.000,,,-32.8857421875,
2023/08/24 12:03:06.000,,,-33.0927734375,
2023/08/24 12:03:08.000,,,-33.0625,
2023/08/24 12:03:17.000,,,-33,
2023/08/24 12:08:18.000,,,-33.2646484375,
2023/08/24 12:08:20.000,,,-33.275390625,
2023/08/24 12:08:24.000,,,-33.3154296875,
2023/08/24 11:36:02.000,,,-32.5361328125,
2023/08/24 11:36:04.000,,,-32.5419921875,
2023/08/24 11:36:06.000,,,-32.548828125,
2023/08/24 11:36:08.000,,,-32.5498046875,
