Voltage,Current,Power,Time
0,0,0,10:18
0.49,0.49,0.2401,10:21
1.02,1.01,1.0302,10:24
1.56,1.49,2.3244,10:28
2.12,2,4.24,10:32
2.68,2.5,6.7,10:38
3.25,2.98,9.685,10:42
3.88,3.5,13.58,10:46
4.5,4,18,10:50
5.22,4.5,23.49,10:54
