Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_34/Chip_1/Channel_0.,
2023/07/26 08:28:04.000,-35.0302734375,
2023/07/26 08:29:38.000,-35.490234375,
2023/07/26 08:32:24.000,-35.173828125,
2023/07/26 08:33:30.000,-35.486328125,
2023/07/26 08:34:22.000,-35.8388671875,
2023/07/26 08:36:04.000,-35.525390625,
2023/07/26 08:38:34.000,-35.8447265625,
2023/07/26 08:40:04.000,-35.51171875,
2023/07/26 08:43:02.000,-35.8447265625,
2023/07/26 08:44:37.000,-35.541015625,
2023/07/26 08:51:30.000,-35.90625,
2023/07/26 08:53:08.000,-35.578125,
2023/07/26 08:53:52.000,-35.2265625,
2023/07/26 08:55:42.000,-35.5830078125,
2023/07/26 09:00:22.000,-35.9267578125,
2023/07/26 09:02:12.000,-35.6201171875,
2023/07/26 09:06:26.000,-35.3017578125,
2023/07/26 09:08:10.000,-35.2490234375,
2023/07/26 09:08:24.000,-35.33203125,
2023/07/26 09:08:26.000,-35.3876953125,
2023/07/26 09:08:40.000,-35.4482421875,
2023/07/26 09:08:50.000,-35.5107421875,
2023/07/26 09:09:00.000,-35.51953125,
2023/07/26 09:09:02.000,-35.5244140625,
2023/07/26 09:09:04.000,-35.537109375,
2023/07/26 09:09:24.000,-35.4970703125,
2023/07/26 09:09:46.000,-35.408203125,
2023/07/26 09:09:49.000,-35.3876953125,
2023/07/26 09:09:52.000,-35.380859375,
2023/07/26 09:09:54.000,-35.392578125,
2023/07/26 09:09:56.000,-35.3798828125,
2023/07/26 09:10:01.000,-35.3603515625,
2023/07/26 09:10:03.000,-35.30859375,
2023/07/26 09:10:06.000,-35.328125,
2023/07/26 09:10:09.000,-35.2978515625,
2023/07/26 09:10:12.000,-35.29296875,
2023/07/26 09:10:14.000,-35.279296875,
2023/07/26 09:10:17.000,-35.27734375,
2023/07/26 09:10:21.000,-35.271484375,
2023/07/26 09:10:26.000,-35.2578125,
2023/07/26 09:10:29.000,-35.263671875,
2023/07/26 09:10:36.000,-35.24609375,
2023/07/26 09:10:39.000,-35.2373046875,
2023/07/26 09:10:42.000,-35.2353515625,
2023/07/26 09:10:44.000,-35.2158203125,
2023/07/26 09:10:46.000,-35.2275390625,
2023/07/26 09:10:52.000,-35.2255859375,
2023/07/26 09:10:54.000,-35.220703125,
2023/07/26 09:11:02.000,-35.216796875,
2023/07/26 09:11:06.000,-35.2080078125,
2023/07/26 09:11:09.000,-35.2275390625,
2023/07/26 09:11:12.000,-35.2216796875,
2023/07/26 09:11:14.000,-35.19921875,
2023/07/26 09:11:16.000,-35.197265625,
2023/07/26 09:11:21.000,-35.2158203125,
2023/07/26 09:11:23.000,-35.2119140625,
2023/07/26 09:11:40.000,-35.27734375,
2023/07/26 09:11:47.000,-35.2958984375,
2023/07/26 09:11:56.000,-35.3388671875,
2023/07/26 09:12:03.000,-35.361328125,
2023/07/26 09:12:18.000,-35.4873046875,
2023/07/26 09:12:24.000,-35.5341796875,
2023/07/26 09:12:26.000,-35.5322265625,
2023/07/26 09:12:38.000,-35.6259765625,
2023/07/26 09:12:46.000,-35.662109375,
2023/07/26 09:12:48.000,-35.658203125,
2023/07/26 09:12:56.000,-35.677734375,
2023/07/26 09:13:46.000,-35.5908203125,
2023/07/26 09:13:48.000,-35.5703125,
2023/07/26 09:14:02.000,-35.4619140625,
2023/07/26 09:14:04.000,-35.466796875,
2023/07/26 09:14:06.000,-35.439453125,
2023/07/26 09:14:22.000,-35.3271484375,
2023/07/26 09:14:24.000,-35.310546875,
2023/07/26 09:14:26.000,-35.296875,
2023/07/26 09:14:28.000,-35.265625,
2023/07/26 09:14:36.000,-35.15625,
2023/07/26 09:14:41.000,-35.09765625,
2023/07/26 09:14:43.000,-35.0859375,
2023/07/26 09:14:45.000,-35.0283203125,
2023/07/26 09:14:51.000,-34.9765625,
2023/07/26 09:15:02.000,-34.841796875,
2023/07/26 09:15:12.000,-34.7431640625,
2023/07/26 09:15:18.000,-34.6884765625,
2023/07/26 09:16:01.000,-34.359375,
2023/07/26 09:16:06.000,-34.3359375,
2023/07/26 09:16:08.000,-34.330078125,
2023/07/26 09:16:12.000,-34.322265625,
2023/07/26 09:16:18.000,-34.291015625,
2023/07/26 09:16:21.000,-34.310546875,
2023/07/26 09:16:24.000,-34.2939453125,
2023/07/26 09:16:32.000,-34.3037109375,
2023/07/26 09:16:34.000,-34.3125,
2023/07/26 09:16:36.000,-34.3173828125,
2023/07/26 09:16:38.000,-34.3251953125,
2023/07/26 09:16:42.000,-34.3388671875,
2023/07/26 09:16:44.000,-34.3583984375,
2023/07/26 09:16:46.000,-34.384765625,
2023/07/26 09:17:02.000,-34.484375,
2023/07/26 09:17:04.000,-34.4970703125,
2023/07/26 09:17:06.000,-34.49609375,
2023/07/26 09:17:08.000,-34.5234375,
