Year/Month/Day Hour:Minute:Second.Millisecond,TIF/Manifold/Loop6/TT7648.actual.floatValue,
Year/Month/Day Hour:Minute:Second.Millisecond,TIF/Manifold/Loop6/TT7648,
2023/06/28 11:40:04.000,-31.170000076294,
2023/06/28 11:40:10.000,-30.819999694824,
2023/06/28 11:40:11.000,-31.140001296997,
2023/06/28 11:40:14.000,-30.670000076294,
2023/06/28 11:40:28.000,-31.079999923706,
2023/06/28 11:40:34.000,-31.739999771118,
2023/06/28 11:40:40.000,-32.080001831055,
2023/06/28 11:40:54.000,-31.659999847412,
2023/06/28 11:40:57.000,-32.01000213623,
2023/06/28 11:41:01.000,-31.630001068115,
2023/06/28 11:41:09.000,-31.190000534058,
2023/06/28 11:41:14.000,-31.630001068115,
2023/06/28 11:41:17.000,-31.300001144409,
2023/06/28 11:41:24.000,-30.970001220703,
2023/06/28 11:41:27.000,-30.590000152588,
2023/06/28 11:41:35.000,-30.970001220703,
2023/06/28 11:41:42.000,-30.579999923706,
2023/06/28 11:41:48.000,-30.909999847412,
2023/06/28 11:42:03.000,-31.430000305176,
2023/06/28 11:42:09.000,-31.050001144409,
2023/06/28 11:42:26.000,-30.659999847412,
2023/06/28 11:42:42.000,-30.340000152588,
2023/06/28 11:42:47.000,-30.690000534058,
2023/06/28 11:42:51.000,-30.210000991821,
2023/06/28 11:42:53.000,-30.569999694824,
2023/06/28 11:42:56.000,-31.030000686646,
2023/06/28 11:42:59.000,-31.409999847412,
2023/06/28 11:43:03.000,-31.829999923706,
2023/06/28 11:43:19.000,-32.190002441406,
2023/06/28 11:43:21.000,-31.569999694824,
2023/06/28 11:43:30.000,-31.960000991821,
2023/06/28 11:43:31.000,-31.610000610352,
2023/06/28 11:43:39.000,-31.970001220703,
2023/06/28 11:43:54.000,-32.290000915527,
2023/06/28 11:43:59.000,-31.670000076294,
2023/06/28 11:44:01.000,-32.139999389648,
2023/06/28 11:44:25.000,-31.690000534058,
2023/06/28 11:44:31.000,-31.229999542236,
2023/06/28 11:44:39.000,-30.89999961853,
2023/06/28 11:44:49.000,-30.420000076294,
2023/06/28 11:44:57.000,-30.780000686646,
2023/06/28 11:45:01.000,-30.39999961853,
2023/06/28 11:45:03.000,-30.770000457764,
2023/06/28 11:45:33.000,-30.39999961853,
2023/06/28 11:45:38.000,-30.819999694824,
2023/06/28 11:45:44.000,-30.510000228882,
2023/06/28 11:46:07.000,-30.989999771118,
2023/06/28 11:46:09.000,-31.550001144409,
2023/06/28 11:46:26.000,-31.920000076294,
2023/06/28 11:46:29.000,-31.590000152588,
2023/06/28 11:46:29.710,-31.970001220703,
2023/06/28 11:46:51.000,-32.330001831055,
2023/06/28 11:47:00.000,-31.60000038147,
2023/06/28 11:47:02.000,-31.989999771118,
2023/06/28 11:47:12.000,-31.470001220703,
2023/06/28 11:47:18.000,-31.140001296997,
2023/06/28 11:47:22.000,-30.800001144409,
2023/06/28 11:47:42.000,-30.489999771118,
2023/06/28 11:47:46.000,-30.960000991821,
2023/06/28 11:47:55.000,-30.659999847412,
2023/06/28 11:47:59.000,-31.10000038147,
2023/06/28 11:48:00.000,-30.729999542236,
2023/06/28 11:48:34.000,-30.360000610352,
2023/06/28 11:48:38.000,-30.710000991821,
2023/06/28 11:48:54.000,-31.079999923706,
2023/06/28 11:48:58.000,-30.700000762939,
2023/06/28 11:49:01.000,-31.050001144409,
2023/06/28 11:49:05.000,-31.390001296997,
2023/06/28 11:49:09.000,-31.010000228882,
2023/06/28 11:49:24.000,-30.479999542236,
2023/06/28 11:49:26.000,-31.020000457764,
2023/06/28 11:49:34.000,-31.470001220703,
2023/06/28 11:49:44.000,-31.860000610352,
2023/06/28 11:50:17.000,-31.479999542236,
2023/06/28 11:50:24.000,-30.880001068115,
2023/06/28 11:50:26.000,-31.210000991821,
