Year/Month/Day Hour:Minute:Second.Millisecond,cms_mtdtf_dcs_1:MTRS/MTD_TIF_33/Chip_0/Channel_2.actual.value,
Year/Month/Day Hour:Minute:Second.Millisecond,Third RTD,
2023/07/20 08:42:03.000,-35.4736328125,
2023/07/20 08:44:10.000,-35.16796875,
2023/07/20 08:46:20.000,-35.5517578125,
2023/07/20 08:48:23.000,-35.2353515625,
2023/07/20 08:50:31.000,-35.537109375,
2023/07/20 08:52:24.000,-35.2265625,
2023/07/20 08:54:58.000,-35.5849609375,
2023/07/20 08:56:33.000,-35.25,
2023/07/20 08:59:59.000,-35.5810546875,
2023/07/20 09:01:28.000,-35.2392578125,
2023/07/20 09:03:35.000,-35.5478515625,
2023/07/20 09:10:11.000,-35.2080078125,
2023/07/20 09:12:27.000,-35.5537109375,
2023/07/20 09:14:07.000,-35.2353515625,
2023/07/20 09:16:50.000,-35.482421875,
2023/07/20 09:17:01.000,-35.478515625,
2023/07/20 09:17:25.000,-35.431640625,
2023/07/20 09:17:30.000,-35.40234375,
2023/07/20 09:17:42.000,-35.390625,
2023/07/20 09:17:51.000,-35.33203125,
2023/07/20 09:17:57.000,-35.31640625,
2023/07/20 09:18:13.000,-35.2685546875,
2023/07/20 09:19:01.000,-35.2158203125,
2023/07/20 09:19:15.000,-35.2119140625,
2023/07/20 09:19:30.000,-35.267578125,
2023/07/20 09:19:38.000,-35.291015625,
2023/07/20 09:19:45.000,-35.3154296875,
2023/07/20 09:20:00.000,-35.3974609375,
2023/07/20 09:20:08.000,-35.404296875,
2023/07/20 09:20:09.000,-35.400390625,
2023/07/20 09:20:18.000,-35.408203125,
2023/07/20 09:20:33.000,-35.435546875,
2023/07/20 09:20:43.000,-35.4296875,
2023/07/20 09:21:03.000,-35.30078125,
2023/07/20 09:21:13.000,-35.2353515625,
2023/07/20 09:22:01.000,-34.8349609375,
2023/07/20 09:22:15.000,-34.7392578125,
2023/07/20 09:22:23.000,-34.728515625,
2023/07/20 09:22:44.000,-34.5732421875,
2023/07/20 09:22:53.000,-34.53125,
2023/07/20 09:23:03.000,-34.5068359375,
2023/07/20 09:23:24.000,-34.41015625,
2023/07/20 09:23:41.000,-34.4033203125,
2023/07/20 09:23:43.000,-34.419921875,
2023/07/20 09:23:45.000,-34.404296875,
2023/07/20 09:24:21.000,-34.51953125,
2023/07/20 09:24:33.000,-34.5947265625,
2023/07/20 09:24:43.000,-34.6591796875,
2023/07/20 09:25:21.000,-34.7744140625,
2023/07/20 09:25:29.000,-34.771484375,
2023/07/20 09:25:39.000,-34.7705078125,
2023/07/20 09:26:35.000,-34.6640625,
2023/07/20 09:26:55.000,-34.5615234375,
2023/07/20 09:27:09.000,-34.5068359375,
2023/07/20 09:27:17.000,-34.447265625,
2023/07/20 09:27:23.000,-34.4189453125,
2023/07/20 09:27:29.000,-34.39453125,
2023/07/20 09:27:36.000,-34.373046875,
2023/07/20 09:27:43.000,-34.36328125,
2023/07/20 09:27:45.000,-34.361328125,
2023/07/20 09:28:02.000,-34.3662109375,
2023/07/20 09:28:03.000,-34.3515625,
2023/07/20 09:28:29.000,-34.404296875,
2023/07/20 09:29:04.000,-34.546875,
2023/07/20 09:29:05.000,-34.5576171875,
2023/07/20 09:29:55.000,-34.7451171875,
2023/07/20 09:30:59.000,-34.6123046875,
2023/07/20 09:31:07.000,-34.5888671875,
2023/07/20 09:31:25.000,-34.5009765625,
2023/07/20 09:31:37.000,-34.4423828125,
2023/07/20 09:31:43.000,-34.4228515625,
2023/07/20 09:31:57.000,-34.3564453125,
2023/07/20 09:32:25.000,-34.306640625,
2023/07/20 09:32:32.000,-34.3076171875,
2023/07/20 09:32:47.000,-34.3095703125,
2023/07/20 09:32:55.000,-34.3466796875,
2023/07/20 09:33:07.000,-34.384765625,
2023/07/20 09:33:22.000,-34.4677734375,
2023/07/20 09:33:35.000,-34.5478515625,
2023/07/20 09:33:47.000,-34.630859375,
2023/07/20 09:34:02.000,-34.7568359375,
2023/07/20 09:34:10.000,-34.8271484375,
2023/07/20 09:34:17.000,-34.8955078125,
2023/07/20 09:34:25.000,-34.9619140625,
2023/07/20 09:34:32.000,-35.0283203125,
2023/07/20 09:34:43.000,-35.0830078125,
2023/07/20 09:34:52.000,-35.1552734375,
2023/07/20 09:35:02.000,-35.1943359375,
2023/07/20 09:35:15.000,-35.19921875,
2023/07/20 09:35:45.000,-35.1669921875,
2023/07/20 09:35:52.000,-35.1376953125,
2023/07/20 09:36:05.000,-35.125,
2023/07/20 09:36:18.000,-35.0732421875,
2023/07/20 09:36:27.000,-35.0126953125,
2023/07/20 09:36:39.000,-34.9609375,
2023/07/20 09:36:46.000,-34.939453125,
2023/07/20 09:36:49.000,-34.912109375,
2023/07/20 09:37:09.000,-34.8134765625,
2023/07/20 09:37:20.000,-34.8076171875,
2023/07/20 09:37:22.000,-34.7578125,
2023/07/20 09:37:25.000,-34.7509765625,
2023/07/20 09:37:31.000,-34.7333984375,
2023/07/20 09:37:43.000,-34.732421875,
2023/07/20 09:37:45.000,-34.728515625,
2023/07/20 09:37:52.000,-34.7373046875,
2023/07/20 09:38:03.000,-34.775390625,
2023/07/20 09:38:12.000,-34.82421875,
2023/07/20 09:38:17.000,-34.8447265625,
2023/07/20 09:38:29.000,-34.9296875,
2023/07/20 09:39:05.000,-34.9423828125,
2023/07/20 09:39:15.000,-34.9052734375,
2023/07/20 09:39:39.000,-34.818359375,
2023/07/20 09:39:47.000,-34.77734375,
2023/07/20 09:40:02.000,-34.68359375,
2023/07/20 09:40:19.000,-34.6171875,
2023/07/20 09:40:35.000,-34.4931640625,
2023/07/20 09:40:58.000,-34.3583984375,
2023/07/20 09:41:05.000,-34.349609375,
2023/07/20 09:41:07.000,-34.314453125,
2023/07/20 09:41:13.000,-34.287109375,
2023/07/20 09:41:19.000,-34.263671875,
2023/07/20 09:42:07.000,-34.2509765625,
2023/07/20 09:42:22.000,-34.291015625,
2023/07/20 09:42:37.000,-34.353515625,
2023/07/20 09:42:56.000,-34.421875,
2023/07/20 09:43:51.000,-34.2373046875,
2023/07/20 09:43:57.000,-34.1982421875,
2023/07/20 09:44:37.000,-33.9423828125,
2023/07/20 09:44:56.000,-33.82421875,
2023/07/20 09:45:14.000,-33.7451171875,
2023/07/20 09:45:17.000,-33.73828125,
2023/07/20 09:45:27.000,-33.7060546875,
