Year/Month/Day Hour:Minute:Second.Millisecond,TIF/Manifold/Loop6/TT7648.actual.floatValue,
Year/Month/Day Hour:Minute:Second.Millisecond,TIF/Manifold/Loop6/TT7648,
2023/07/25 08:08:38.000,-35.360000610352,
2023/07/25 08:09:23.000,-35.04999923706,
2023/07/25 08:09:24.000,-34.729999542236,
2023/07/25 08:09:54.000,-34.229999542236,
2023/07/25 08:10:08.000,-33.75,
2023/07/25 08:10:14.000,-34.290000915527,
2023/07/25 08:10:24.000,-33.919998168945,
2023/07/25 08:10:33.000,-33.529998779297,
2023/07/25 08:11:06.000,-33.180000305176,
2023/07/25 08:11:18.000,-33.540000915527,
2023/07/25 08:11:40.000,-33.169998168945,
2023/07/25 08:12:03.000,-33.800003051758,
2023/07/25 08:12:11.000,-33.370002746582,
2023/07/25 08:12:33.000,-33.690002441406,
2023/07/25 08:12:54.000,-34.330001831055,
2023/07/25 08:13:05.000,-34.790000915527,
2023/07/25 08:13:16.000,-34.440002441406,
2023/07/25 08:13:26.000,-34,
2023/07/25 08:13:37.000,-34.470001220703,
2023/07/25 08:13:58.000,-34.169998168945,
2023/07/25 08:14:24.000,-33.720001220703,
2023/07/25 08:14:33.000,-34.110000610352,
2023/07/25 08:14:41.000,-33.669998168945,
2023/07/25 08:15:11.000,-33.220001220703,
2023/07/25 08:15:15.000,-33.690002441406,
2023/07/25 08:15:19.000,-34.360000610352,
2023/07/25 08:15:22.000,-34.830001831055,
2023/07/25 08:15:31.000,-34.490001678467,
2023/07/25 08:15:41.000,-34.04999923706,
2023/07/25 08:15:46.000,-33.680000305176,
2023/07/25 08:16:03.000,-34.01000213623,
2023/07/25 08:16:12.000,-33.599998474121,
2023/07/25 08:16:25.000,-33.209999084473,
2023/07/25 08:16:42.000,-33.550003051758,
2023/07/25 08:17:00.000,-33.930000305176,
2023/07/25 08:17:07.000,-34.380001068115,
2023/07/25 08:17:12.000,-34.76000213623,
2023/07/25 08:17:38.000,-34.369998931885,
2023/07/25 08:18:00.000,-34.76000213623,
2023/07/25 08:18:15.000,-34.349998474121,
2023/07/25 08:18:40.000,-33.959999084473,
