Voltage,Current,Power,Time
0,0,0,10:50:00
1,1,1,10:54:00
0.76,1,0.76,10:58:00
1.61,2,3.22,11:07:00
2.48,3,7.44,11:13:00
3.35,4,13.4,11:24:00
3.98,4.77,18.9846,11:30:00
